id,name,parent_id
1,レディース,“”
2,トップス,1
3,Tシャツ/カットソー(半袖/袖なし),2
4,Tシャツ/カットソー(七分/長袖),2
5,シャツ/ブラウス(半袖/袖なし),2
6,シャツ/ブラウス(七分/長袖),2
7,ポロシャツ,2
8,キャミソール,2
9,タンクトップ,2
10,ホルターネック,2
11,ニット/セーター,2
12,チュニック,2
13,カーディガン/ボレロ,2
14,アンサンブル,2
15,ベスト/ジレ,2
16,パーカー,2
17,トレーナー/スウェット,2
18,ベアトップ/チューブトップ,2
19,ジャージ,2
20,その他,2
21,ジャケット/アウター,1
22,ノーカラージャケット,21
23,Gジャン/デニムジャケット,21
24,レザージャケット,21
25,ダウンジャケット,21
26,ライダースジャケット,21
27,ミリタリージャケット,21
28,ダウンベスト,21
29,ジャンパー/ブルゾン,21
30,ポンチョ,21
31,ロングコート,21
32,トレンチコート,21
33,ダッフルコート,21
34,ピーコート,21
35,チェスターコート,21
36,モッズコート,21
37,スタジャン,21
38,毛皮/ファーコート,21
39,スプリングコート,21
40,スカジャン,21
41,その他,21
42,パンツ,1
43,デニム/ジーンズ,42
44,ショートパンツ,42
45,カジュアルパンツ,42
46,ハーフパンツ,42
47,チノパン,42
48,ワークパンツ/カーゴパンツ,42
49,クロップドパンツ,42
50,サロペット/オーバーオール,42
51,オールインワン,42
52,サルエルパンツ,42
53,ガウチョパンツ,42
54,その他,42
55,スカート,1
56,ミニスカート,55
57,ひざ丈スカート,55
58,ロングスカート,55
59,キュロット,55
60,その他,55
61,ワンピース,1
62,ミニワンピース,61
63,ひざ丈ワンピース,61
64,ロングワンピース,61
65,その他,61
66,靴,1
67,ハイヒール/パンプス,66
68,ブーツ,66
69,サンダル,66
70,スニーカー,66
71,ミュール,66
72,モカシン,66
73,ローファー/革靴,66
74,フラットシューズ/バレエシューズ,66
75,長靴/レインシューズ,66
76,その他,66
77,ルームウェア/パジャマ,1
78,パジャマ,77
79,ルームウェア,77
80,レッグウェア,1
81,ソックス,80
82,スパッツ/レギンス,80
83,ストッキング/タイツ,80
84,レッグウォーマー,80
85,その他,80
86,帽子,1
87,ニットキャップ/ビーニー,86
88,ハット,86
89,ハンチング/ベレー帽,86
90,キャップ,86
91,キャスケット,86
92,麦わら帽子,86
93,その他,86
94,バッグ,1
95,ハンドバッグ,94
96,トートバッグ,94
97,エコバッグ,94
98,リュック/バックパック,94
99,ボストンバッグ,94
100,スポーツバッグ,94
101,ショルダーバッグ,94
102,クラッチバッグ,94
103,ポーチ/バニティ,94
104,ボディバッグ/ウェストバッグ,94
105,マザーズバッグ,94
106,メッセンジャーバッグ,94
107,ビジネスバッグ,94
108,旅行用バッグ/キャリーバッグ,94
109,ショップ袋,94
110,和装用バッグ,94
111,かごバッグ,94
112,その他,94
113,アクセサリー,1
114,ネックレス,113
115,ブレスレット,113
116,バングル/リストバンド,113
117,リング,113
118,ピアス(片耳用),113
119,ピアス(両耳用),113
120,イヤリング,113
121,アンクレット,113
122,ブローチ/コサージュ,113
123,チャーム,113
124,その他,113
125,ヘアアクセサリー,1
126,ヘアゴム/シュシュ,125
127,ヘアバンド/カチューシャ,125
128,ヘアピン,125
129,その他,125
130,小物,1
131,長財布,130
132,折り財布,130
133,コインケース/小銭入れ,130
134,名刺入れ/定期入れ,130
135,キーケース,130
136,キーホルダー,130
137,手袋/アームカバー,130
138,ハンカチ,130
139,ベルト,130
